year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,fare,Geocoded_City1,Geocoded_City2,tbl1apk,period
2025,1,30154,31703,"Nantucket, MA","New York City, NY (Metropolitan Area)",10154,11618,ACK,EWR,218,202.92,"(41.283208, -70.09923)","(40.123164, -75.333718)",202331015411618ACKEWR,Post-Pandemic
2025,1,31066,33195,"Columbus, OH","Tampa, FL (Metropolitan Area)",12917,14112,LCK,PIE,829,105.16,"(39.962649, -82.996216)","(37.8606, -78.804199)",202411291714112LCKPIE,Post-Pandemic
2025,1,30194,34614,"Dallas/Fort Worth, TX","Salt Lake City, UT",11298,14869,DFW,SLC,999,272.14,"(40.11086, -77.035636)","(40.758478, -111.888142)",202411129814869DFWSLC,Post-Pandemic
2025,1,30194,33044,"Dallas/Fort Worth, TX","Louisville, KY",11298,14730,DFW,SDF,733,226.09,"(40.11086, -77.035636)","(38.256078, -85.751569)",202411129814730DFWSDF,Post-Pandemic
2025,1,30721,30852,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10721,10821,BOS,BWI,418,158.89,"(42.358894, -71.056742)","(38.892062, -77.019912)",202411072110821BOSBWI,Post-Pandemic
2025,1,31995,31703,"Greensboro/High Point, NC","New York City, NY (Metropolitan Area)",11995,12478,GSO,JFK,481,207.3,"(36.072701, -79.793899)","(40.123164, -75.333718)",202411199512478GSOJFK,Post-Pandemic
2025,1,31066,32457,"Columbus, OH","San Francisco, CA (Metropolitan Area)",11066,13796,CMH,OAK,2120,272.94,"(39.962649, -82.996216)","(37.78008, -122.420168)",202411106613796CMHOAK,Post-Pandemic
2025,1,30194,32337,"Dallas/Fort Worth, TX","Indianapolis, IN",11298,12339,DFW,IND,761,267.5,"(40.11086, -77.035636)","(39.76845, -86.156212)",202411129812339DFWIND,Post-Pandemic
2025,1,31703,33570,"New York City, NY (Metropolitan Area)","San Diego, CA",12391,14679,ISP,SAN,2481,320.57,"(40.123164, -75.333718)","(32.71576, -117.163817)",202411239114679ISPSAN,Post-Pandemic
2025,1,34570,30852,"Reno, NV","Washington, DC (Metropolitan Area)",14570,10821,RNO,BWI,2286,326.06,"(30.177159, -95.162771)","(38.892062, -77.019912)",202331457010821RNOBWI,Post-Pandemic
2025,1,30423,31453,"Austin, TX","Houston, TX",10423,12266,AUS,IAH,148,171.43,"(30.264979, -97.746598)","(29.760803, -95.369506)",202241042312266AUSIAH,During-Pandemic
2025,1,32575,31703,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",14908,12478,SNA,JFK,2510,522.68,"(34.052238, -118.243344)","(40.123164, -75.333718)",202411490812478SNAJFK,Post-Pandemic
2025,1,32575,33342,"Los Angeles, CA (Metropolitan Area)","Milwaukee, WI",12954,13342,LGB,MKE,1756,215.4,"(34.052238, -118.243344)","(43.041072, -87.909421)",202411295413342LGBMKE,Post-Pandemic
2025,1,30721,31454,"Boston, MA (Metropolitan Area)","Orlando, FL",14307,13204,PVD,MCO,1142,194.95,"(42.358894, -71.056742)","(28.538331, -81.378879)",202411430713204PVDMCO,Post-Pandemic
2025,1,30647,31453,"Cleveland, OH (Metropolitan Area)","Houston, TX",10874,12266,CAK,IAH,1106,400.61,"(41.505546, -81.6915)","(29.760803, -95.369506)",202411087412266CAKIAH,Post-Pandemic
2025,1,32575,31454,"Los Angeles, CA (Metropolitan Area)","Orlando, FL",10800,13204,BUR,MCO,2218,309.95,"(34.052238, -118.243344)","(28.538331, -81.378879)",202411080013204BURMCO,Post-Pandemic
2025,1,31703,32457,"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",12197,14771,HPN,SFO,2608,326.1,"(40.123164, -75.333718)","(37.78008, -122.420168)",202411219714771HPNSFO,Post-Pandemic
2025,1,34004,32457,"Everett, WA","San Francisco, CA (Metropolitan Area)",14004,14771,PAE,SFO,728,183.57,"(47.97913, -122.195893)","(37.78008, -122.420168)",202331400414771PAESFO,Post-Pandemic
