year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,fare,Geocoded_City1,Geocoded_City2,tbl1apk,period
2025,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12892,11278,LAX,DCA,2329,378.29,"33.79226917070069, -118.204909485967","39.06854619558678, -77.28209870558013",202411289211278LAXDCA,Post-Pandemic
2025,2,33105,32467,"Cincinnati, OH","Miami, FL (Metropolitan Area)",11193,11697,CVG,FLL,948,207.32,"39.1184591715016, -84.4916057804775","25.818657926992138, -80.30089992008288",202411119311697CVGFLL,Post-Pandemic
2025,2,32575,34100,"Los Angeles, CA (Metropolitan Area)","Philadelphia, PA",13891,14100,ONT,PHL,2402,305.64,"33.79226917070069, -118.204909485967","39.98377424825989, -75.15381968285524",202411389114100ONTPHL,Post-Pandemic
2025,2,31703,31123,"New York City, NY (Metropolitan Area)","St. Louis, MO",11618,15016,EWR,STL,929,284.92,"40.722551776084316, -73.97924863938653","38.620683220244835, -90.20661760171893",202411161815016EWRSTL,Post-Pandemic
2025,2,30977,31454,"Chicago, IL","Orlando, FL",13232,13204,MDW,MCO,1005,175.7,"41.87456337224408, -87.6626642168663","28.548125486782045, -81.37833290308744",202411323213204MDWMCO,Post-Pandemic
2025,2,32575,34492,"Los Angeles, CA (Metropolitan Area)","Raleigh/Durham, NC",13891,14492,ONT,RDU,2239,296.72,"33.79226917070069, -118.204909485967","35.8264062992142, -78.64493840243881",202411389114492ONTRDU,Post-Pandemic
2025,2,30647,32575,"Cleveland, OH (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",10874,14908,CAK,SNA,2073,481.27,"41.49657498253431, -81.70037642525823","33.79226917070069, -118.204909485967",202411087414908CAKSNA,Post-Pandemic
2025,2,30559,30852,"Seattle, WA","Washington, DC (Metropolitan Area)",14747,10821,SEA,BWI,2335,344.97,"47.60490210531131, -122.30959975376733","39.06854619558678, -77.28209870558013",202411474710821SEABWI,Post-Pandemic
2025,2,30868,30852,"Columbia, SC","Washington, DC (Metropolitan Area)",10868,10821,CAE,BWI,438,268.49,"34.018820683534194, -81.02842974914606","39.06854619558678, -77.28209870558013",202411086810821CAEBWI,Post-Pandemic
2025,2,35412,31703,"Knoxville, TN","New York City, NY (Metropolitan Area)",15412,15070,TYS,SWF,665,110.08,"35.966030866156146, -83.955441734572","40.722551776084316, -73.97924863938653",202311541215070TYSSWF,Post-Pandemic
